id,nombre,descripcion,direccion,latitud,longitud,fecha_inicio,hora_inicio,fecha_fin,hora_fin,tipo_intervencion,tipo_afectacion,titularidad,impacto_pmr,notas
AFEC-0001,Intervención Paseo de Salvador Rueda,"Ocupación de calzada de Pº Salvador Rueda, 13 y en c/Ramal de Monte de Sancha, 28, para operaciones auxiliares de obra",Paseo de Salvador Rueda,36.72377581372775,-4.399517674419345,2026-02-27,09:30,2026-07-08,18:00,obra,ocupacion_calzada,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0002,Intervención Calle Doña,"Ocupación de calzada en c/ Doña, nº 32 para realizar operaciones de pintura en fachada.",Calle Doña,36.732541064200454,-4.420492532594296,2026-05-21,09:00,2026-05-28,19:00,obra,ocupacion_calzada,municipal,no,Particular.
AFEC-0003,Intervención Avenida de San Javier,"Cortes de tráfico en los barrios de HAcienda Platero y Heliomar en Churriana, con motivo de las 'Obras de Separación de Redes en la Avenida San Javier y calle Torremolinos, Málaga (EMASA)",Avenida de San Javier,36.6656485633116,-4.5037442276541055,2026-04-25,08:00,2026-08-23,20:00,obra,corte_trafico,municipal,no,EMASA
AFEC-0004,Intervención Calle Frailes,"Ocupación menor en carril de circulación con o sin estacionamiento, c/ Fraile nº 36, por rehabilitación de fachada.",Calle Frailes,36.72551397305273,-4.41853131251072,2026-02-22,08:00,2027-02-21,14:00,obra,corte_trafico,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0005,Intervención Calle Álvarez,"Accesos puntuales a c/Álvarez, nº8 para realizar operaciones auxiliares de obra (carga y descarga).",Calle Álvarez,36.72454668326381,-4.423988279354029,2026-10-07,07:30,2027-02-25,11:30,obra,ocupacion_calzada,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0006,Intervención Calle Echegaray,"Accesos puntuales a c/Císter, nº1 para realizar operaciones auxiliares de obra (carga y descarga) de obra situada en c/Echegaray nº8",Calle Echegaray,36.72131320109044,-4.419137990108375,2026-10-30,08:00,2028-10-29,11:30,obra,ocupacion_calzada,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0007,Intervención Calle Juan de Padilla,"Accesos puntuales a c/Juan de Padilla,nº13 para realizar operaciones auxiliares de obra.",Calle Juan de Padilla,36.72334009257777,-4.42072435088305,2026-01-17,07:30,2026-11-16,10:30,obra,ocupacion_calzada,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0008,Intervención Calle Eugenio Gross,Corte de tráfico en c/ Eugenio Gross en el tramo comprendido entre c/ Martínez Maldonado y c/ Martínez de la Rosa para realizar con motivo de las obras para la 'PROLONGACIÓN DE LA LÍNEA 2 DEL METRO DE MÁLAGA AL HOSPITAL CIVIL TRAMO 2: HILERA - EUGENIO GROSS'.,Calle Eugenio Gross,36.72309724867725,-4.435657545020089,2026-02-17,10:00,2026-02-24,23:59,obra,corte_trafico,municipal,no,U.T.E. OBRA METRO MÁLAGA
AFEC-0009,Intervención Calle Ramón Franquelo,": Accesos puntuales a el Ramón Franquelo para realizar operaciones de hormigonado para obra en el Tomás de Cózar, nº 4-6. Ampliación temporal.",Calle Ramón Franquelo,36.723050882715285,-4.419243086325324,2026-04-30,07:30,2026-05-04,12:00,obra,corte_trafico,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0010,Intervención Avenida de Miraflores de los Ángeles,Ocupación menor por carga y descarga de materiales,Avenida de Miraflores de los Ángeles,36.730311316397675,-4.440600657725054,2026-11-05,08:00,2027-11-05,18:00,obra,otro,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0011,Intervención Carrera de Capuchinos,"Ocupación de calzada en Carrera Capuchinos, a la altura del nº33, para realizar operaciones de carga y descarga y hormigonado.",Carrera de Capuchinos,36.72812220749476,-4.4211384165685335,2026-10-15,08:00,2026-10-22,14:00,obra,ocupacion_calzada,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0012,Intervención Plaza de la Marina,Acceso de vehículos de distribución de mercancías a la reserva de Carga y Descarga de la Plaza de la Marina,Plaza de la Marina,36.71836454676338,-4.421070571127101,2026-11-29,08:00,2027-03-25,15:00,obra,corte_trafico,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0013,Intervención Calle Lairenes,"Corte de tráfico en c/ Lairenes, 1 para la realización de los trabajos de saneamiento (EMASA)",Calle Lairenes,36.733392856551376,-4.568923455417231,2026-10-07,09:30,2026-12-07,20:00,obra,corte_trafico,municipal,no,EMASA
AFEC-0014,Intervención Calle Moreti,"Corte de tráfico en c/ Moreti en el tramo comprendido entre Glorieta Escultor Antonio Leiva Jiménez y Av. Velázquez, para realizar operaciones de desmontaje de grúa torre.",Calle Moreti,36.698899030050335,-4.446327685288372,2026-04-23,08:00,2026-10-22,19:00,obra,corte_trafico,municipal,no,"Grúas Raimundo, S.L."
AFEC-0015,Intervención Calle Pedro de Toledo,"Accesos puntuales de obra a c/ Pedro de Toledo nº 3, para realizar operaciones de carga/descarga, en obra de reforma del Convento de San Agustín, para la nueva sede de la Biblioteca Nacional del Estado en Málaga. AMPLIACIÓN DE PLAZO ANUALIDAD 2026",Calle Pedro de Toledo,36.720940338954044,-4.418143390266873,2026-10-29,07:00,2027-10-29,11:00,obra,ocupacion_calzada,municipal,no,UTE Biblioteca Pública de Málaga
AFEC-0016,Intervención Pasaje Campos,Ocupación menor en carril de circulación con o sin estacionamiento.,Pasaje Campos,36.723580875184,-4.41656852457052,2026-01-04,08:00,2026-02-14,17:00,obra,otro,municipal,no,FONSAN-GESTION Y CONSTRUCCIÓN SL
AFEC-0017,Intervención Calle Doctor Ruiz Jiménez,"Corte de tráfico en C/ Doctor Ruiz Jiménez, para operaciones de izado (8ªAmpliación de plazo).",Calle Doctor Ruiz Jiménez,36.72222353879609,-4.441586378292918,2026-12-24,08:00,2028-02-06,20:00,obra,corte_trafico,municipal,no,EIFFAGE ENERGIA S.L.U
AFEC-0018,Intervención Plaza de la Merced,Autorización anualidad 2026 para la realización de tareas de carga y descarga. Casa Natal de Picasso.,Plaza de la Merced,36.72351992499231,-4.417998082576231,2026-06-24,08:00,2027-04-23,20:00,obra,ocupacion_calzada,municipal,no,Basado en dato abierto de cortes de tráfico de Málaga (oversampling de fechas).
AFEC-0019,Intervención Calle Sondalezas,Ocupación de calzada en c/ Sondalezas y cortes de tráfico en Pasaje Sondalezas para realizar operaciones de izado (7ª AMPLIACIÓN DE PLAZO).,Calle Sondalezas,36.72229462630812,-4.440615680448848,2026-03-21,08:00,2026-05-01,20:00,obra,corte_trafico,municipal,no,Eiffge Energía S.L.U.
