id,nombre,latitud,longitud,direccion,fecha,hora,ocupacion_total,ocupacion_libres
PARK-0001,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-11-24,03:00,866,766
PARK-0002,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-04-25,04:00,866,794
PARK-0003,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-02-22,21:00,866,255
PARK-0004,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-10-30,13:00,866,70
PARK-0005,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-01-17,00:00,866,698
PARK-0006,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-11-05,00:00,866,707
PARK-0007,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-10-15,06:00,866,691
PARK-0008,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-08-03,07:00,866,554
PARK-0009,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-08-18,18:00,866,79
PARK-0010,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-03-23,22:00,866,355
PARK-0011,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-08-05,10:00,866,69
PARK-0012,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-06-22,03:00,866,770
PARK-0013,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-02-17,12:00,866,17
PARK-0014,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-11-06,08:00,866,251
PARK-0015,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-01-23,23:00,866,652
PARK-0016,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-07-13,02:00,866,785
PARK-0017,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-10-10,09:00,866,129
PARK-0018,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-07-05,18:00,866,116
PARK-0019,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-04-09,22:00,866,383
PARK-0020,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-05-29,02:00,866,763
PARK-0021,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-04-30,03:00,866,835
PARK-0022,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-07-06,05:00,866,739
PARK-0023,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-07-09,11:00,866,17
PARK-0024,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-12-16,20:00,866,78
PARK-0025,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-02-06,19:00,866,70
PARK-0026,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-05-06,05:00,866,812
PARK-0027,Parking Publico Cervantes,36.7208633,-4.4119148,Calle Cervantes,2026-08-25,12:00,866,17
