id,nombre_establecimiento,tipo_ocupacion,direccion,latitud,longitud,ocupacion_longitud,ocupacion_superficie,titularidad,estado_autorizacion,fecha_inicio_autorizacion,fecha_fin_autorizacion,notas
OCUP-0001,Establecimiento Calle Marqués de Larios 1,quiosco,Calle Marqués de Larios,36.719725,-4.421105,21,45,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0002,Establecimiento Calle Granada 2,puesto,Calle Granada,36.721751,-4.419068,15,55,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0003,Establecimiento Calle Granada 3,terraza,Calle Granada,36.721398,-4.418965,17,30,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0004,Establecimiento Alameda Principal 4,puesto,Alameda Principal,36.718249,-4.422902,16,31,privada,en_revision,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0005,Establecimiento Alameda Principal 5,terraza,Alameda Principal,36.718386,-4.423074,15,20,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0006,Establecimiento Plaza de la Marina 6,puesto,Plaza de la Marina,36.717211,-4.420615,11,33,privada,en_revision,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0007,Establecimiento Calle Mayor 7,quiosco,Calle Mayor,36.720800,-4.420207,14,18,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0008,Establecimiento Calle Granada 8,quiosco,Calle Granada,36.721558,-4.419207,10,56,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0009,Establecimiento Calle Alameda Colón 9,terraza,Calle Alameda Colón,36.715947,-4.424894,12,40,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0010,Establecimiento Calle Alameda Colón 10,quiosco,Calle Alameda Colón,36.716020,-4.425114,20,24,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0011,Establecimiento Calle Alameda Colón 11,concesion,Calle Alameda Colón,36.716162,-4.424833,21,45,privada,en_revision,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0012,Establecimiento Alameda Principal 12,quiosco,Alameda Principal,36.718681,-4.423217,13,15,privada,en_revision,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0013,Establecimiento Calle Granada 13,terraza,Calle Granada,36.721627,-4.418990,8,30,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0014,Establecimiento Alameda Principal 14,puesto,Alameda Principal,36.718470,-4.422992,18,17,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0015,Establecimiento Calle Alameda Colón 15,puesto,Calle Alameda Colón,36.716258,-4.425051,17,44,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0016,Establecimiento Calle Mayor 16,concesion,Calle Mayor,36.720797,-4.420075,5,32,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0017,Establecimiento Calle Granada 17,quiosco,Calle Granada,36.721283,-4.419128,20,56,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0018,Establecimiento Calle Alameda Colón 18,concesion,Calle Alameda Colón,36.716069,-4.424756,5,28,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0019,Establecimiento Alameda Principal 19,concesion,Alameda Principal,36.718267,-4.423127,14,19,privada,activa,2026-01-01,2026-12-31,Autorización municipal vigente
OCUP-0020,Establecimiento Calle Mayor 20,concesion,Calle Mayor,36.720583,-4.419926,7,19,privada,en_revision,2026-01-01,2026-12-31,Autorización municipal vigente
