id,nombre_establecimiento,tipo_ocupacion,direccion,latitud,longitud,ocupacion_longitud,ocupacion_superficie,titularidad,estado_autorizacion,fecha_inicio_autorizacion,fecha_fin_autorizacion,notas
OCUP-0001,ARROZ EN CAZUELA,terraza,Carril Conde,36.695307167037484,-4.452042102221109,,11.0,privada,activa,,,
OCUP-0002,RESTAURANTE PADILLA,terraza,Carril Conde,36.69537085368484,-4.452657699635279,,27.0,privada,activa,,,
OCUP-0003,BURGUER DALLAS,terraza,Carril Conde,36.69567518821321,-4.45328779924621,,35.0,privada,activa,,,
OCUP-0004,CAFETERIA JAMI,terraza,Carril Conde,36.69560620224522,-4.453617382170269,,6.0,privada,activa,,,
OCUP-0005,BAR TORRES,terraza,Carril Conde,36.69564540229396,-4.454011169876191,,5.0,privada,activa,,,
OCUP-0006,LA BATEA CHURRIANERA,terraza,Carretera Coin,36.65836664823931,-4.48885220226775,,16.0,privada,activa,,,
OCUP-0007,POOL HABANA 8,terraza,Carretera Coin,36.66012823232782,-4.497919613229522,,11.0,privada,activa,,,
OCUP-0008,BODEGUITA RINCON DE DANI,terraza,Carretera Coin,36.66178183404301,-4.504377580552204,,27.0,privada,activa,,,
OCUP-0009,EXOTIC,terraza,Calle Realenga de San Luis,36.69392097033581,-4.448558894139069,,21.0,privada,activa,,,
OCUP-0010,CASA DE MELILLA,terraza,Pasaje Aralar,36.72287642396915,-4.437987356586617,,21.0,privada,activa,,,
OCUP-0011,MORENO S COFFEE,terraza,Pasaje Aranzazu,36.72322652657784,-4.436999739051174,,11.0,privada,activa,,,
OCUP-0012,BAMVU,terraza,Camino Colmenar,36.73437405679103,-4.4157065757120515,,16.0,privada,activa,,,
OCUP-0013,HELADERIA MAYKE,terraza,Alameda Barcelo,36.73116203341434,-4.421331292141054,,21.0,privada,activa,,,
OCUP-0014,CAFE-BAR KATE,terraza,Alameda Capuchinos,36.73010855717737,-4.419969951426092,,7.0,privada,activa,,,
OCUP-0015,VALDI,terraza,Alameda Capuchinos,36.730004694806844,-4.419869205616072,,25.0,privada,activa,,,
OCUP-0016,CAPUCHINOS´S PARK,terraza,Alameda Capuchinos,36.73009296041714,-4.419695653233511,,26.0,privada,activa,,,
OCUP-0017,LA Q FRAO,terraza,Alameda Capuchinos,36.73053788055884,-4.419152057560452,,11.0,privada,activa,,,
OCUP-0018,CAFETERIA JUAN Y CONCHA,terraza,Alameda Capuchinos,36.732024266366444,-4.417205204581723,,8.0,privada,activa,,,
OCUP-0019,LA DERIVA,terraza,Alameda Colon,36.71584403386154,-4.424767671974544,,49.0,privada,activa,,,
OCUP-0020,GRANIER,terraza,Alameda Colon,36.71524670807727,-4.424539457508453,,19.0,privada,activa,,,
OCUP-0021,BOMBON BOSS,terraza,Alameda Colon,36.71486809999882,-4.424401561940573,,20.0,privada,activa,,,
OCUP-0022,CAZORLA,terraza,Alameda Colon,36.71486809999882,-4.424401561940573,,35.0,privada,activa,,,
OCUP-0023,CAZORLA,terraza,Alameda Colon,36.71486809999882,-4.424401561940573,,22.0,privada,activa,,,
OCUP-0024,BAR REGINA,terraza,Alameda Colon,36.71486809999882,-4.424401561940573,,12.0,privada,activa,,,
OCUP-0025,ISTURK KEBAB,terraza,Avenida Jose Ribera,36.72159844837683,-4.472383496232762,,22.0,privada,activa,,,
OCUP-0026,CLEOPATRE,terraza,Calle Nuestra Se?ora de los Clarines,36.73057132481754,-4.438589246596837,,7.0,privada,activa,,,
OCUP-0027,PACO JOS?,terraza,Calle Caldereria,36.721994443609184,-4.420578083141372,,8.0,privada,activa,,,
OCUP-0028,BAR MONSERRAT,terraza,Avenida Juan Xxiii,36.71234050590391,-4.446812658894837,,20.0,privada,activa,,,
OCUP-0029,FRIEND´S,terraza,Calle Juan de Padilla,36.72255590025471,-4.421263370573123,,10.0,privada,activa,,,
